Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Country,Category
01/02/2026,STARBUCKS 800-782-7282 WA,12.34,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
01/11/2026,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
01/12/2026,SQ *JOE'S DINER AUSTIN TX,11.6,SQ *JOE'S DINER AUSTIN TX,SQ *JOE'S DINER AUSTIN TX,"AUSTIN, TX",US,Restaurant-Restaurant
01/19/2026,ONLINE PAYMENT - THANK YOU,-779.75,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
01/24/2026,SQ *STARBUCKS,9.23,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
01/24/2026,SQ *JOE'S DINER AUSTIN TX,11.15,SQ *JOE'S DINER AUSTIN TX,SQ *JOE'S DINER AUSTIN TX,"AUSTIN, TX",US,Restaurant-Restaurant
01/25/2026,STARBUCKS STORE #05028,11.74,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
02/01/2026,SQ *STARBUCKS,10.03,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
02/02/2025,STARBUCKS 800-782-7282 WA,6.31,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
02/04/2025,WHOLE FOODS MKT #10120,100.43,WHOLE FOODS MKT #10120,WHOLE FOODS MKT #10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
02/06/2025,SQ *STARBUCKS,8.4,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
02/09/2025,UBER  EATS 8005928996,30.75,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
02/09/2025,COSTCO WHSE #1147,68.86,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
02/11/2025,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
02/11/2026,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
02/14/2025,WHOLE FOODS MKT #10120,121.04,WHOLE FOODS MKT #10120,WHOLE FOODS MKT #10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
02/15/2026,UBER *EATS HELP.UBER.COM,38.47,UBER *EATS HELP.UBER.COM,UBER *EATS HELP.UBER.COM,"AUSTIN, TX",US,Restaurant-Restaurant
02/15/2026,MOZART'S COFFEE ROASTER,29.03,MOZART'S COFFEE ROASTER,MOZART'S COFFEE ROASTER,"AUSTIN, TX",US,Restaurant-Restaurant
02/19/2025,DD *WINGSTOP,30.41,DD *WINGSTOP,DD *WINGSTOP,"DENVER, CO",US,Restaurant-Restaurant
02/19/2026,ONLINE PAYMENT - THANK YOU,-415.42,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
02/21/2025,DOORDASH*CHIPOTLE,20.62,DOORDASH*CHIPOTLE,DOORDASH*CHIPOTLE,"AUSTIN, TX",US,Restaurant-Restaurant
02/22/2026,COSTCO WHSE #1147,139.89,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
02/22/2026,DOORDASH*PANDA EXPRESS,19.52,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
02/22/2026,DD *WINGSTOP,25.35,DD *WINGSTOP,DD *WINGSTOP,"AUSTIN, TX",US,Restaurant-Restaurant
02/23/2025,DD *WINGSTOP,29.15,DD *WINGSTOP,DD *WINGSTOP,"AUSTIN, TX",US,Restaurant-Restaurant
02/24/2025,AMAZON.COM*2ASXBE7L,121.38,AMAZON.COM*2ASXBE7L,AMAZON.COM*2ASXBE7L,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
02/26/2026,UBER  EATS 8005928996,22.73,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
02/28/2025,STARBUCKS STORE #05028,4.7,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
03/01/2025,STARBUCKS 800-782-7282 WA,11.63,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
03/01/2025,DOORDASH*PANDA EXPRESS,50.23,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
03/01/2025,UBER *TRIP HELP.UBER.COM,7.9,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
03/01/2026,STARBUCKS 800-782-7282 WA,9.7,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
03/01/2026,AMAZON.COM*2AZWJPQW,72.86,AMAZON.COM*2AZWJPQW,AMAZON.COM*2AZWJPQW,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
03/02/2026,UBER *TRIP HELP.UBER.COM,38.31,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
03/02/2026,CVS PHARM #04471 AUSTIN TX,38.68,CVS PHARM #04471 AUSTIN TX,CVS PHARM #04471 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
03/04/2025,SAFEWAY.COM ORDER,131.65,SAFEWAY.COM ORDER,SAFEWAY.COM ORDER,"DENVER, CO",US,Merchandise & Supplies-Wholesale Stores
03/04/2026,STARBUCKS STORE #05028,8.53,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
03/04/2026,AMAZON.COM*2A36DJHZ,157.41,AMAZON.COM*2A36DJHZ,AMAZON.COM*2A36DJHZ,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
03/06/2025,COSTCO WHSE #1147,96.96,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
03/07/2025,UBER  EATS 8005928996,24.36,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
03/09/2025,AMZN Mktp US*2KYZH3VJ,59.52,AMZN Mktp US*2KYZH3VJ,AMZN Mktp US*2KYZH3VJ,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
03/10/2026,WHOLEFDS AUS 10120,122.27,WHOLEFDS AUS 10120,WHOLEFDS AUS 10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
03/10/2026,AMAZON.COM*2ATZSX3S,73.01,AMAZON.COM*2ATZSX3S,AMAZON.COM*2ATZSX3S,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
03/11/2025,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
03/11/2026,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
03/12/2026,STARBUCKS STORE #05028,12.42,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
03/13/2026,WHOLEFDS AUS 10120,69.53,WHOLEFDS AUS 10120,WHOLEFDS AUS 10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
03/16/2025,AMAZON.COM*2AFS7HJS,58.78,AMAZON.COM*2AFS7HJS,AMAZON.COM*2AFS7HJS,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
03/17/2025,UBER  EATS 8005928996,18.14,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
03/17/2025,AMZN Mktp US*2KHOWKLN,132.57,AMZN Mktp US*2KHOWKLN,AMZN Mktp US*2KHOWKLN,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
03/19/2026,ONLINE PAYMENT - THANK YOU,-342.33,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
03/20/2026,COSTCO.COM 800-955-2292,143.43,COSTCO.COM 800-955-2292,COSTCO.COM 800-955-2292,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
03/21/2026,WHOLE FOODS MKT #10120,97.96,WHOLE FOODS MKT #10120,WHOLE FOODS MKT #10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
03/22/2026,SHELL SERVICE STATION AUSTIN TX,34.78,SHELL SERVICE STATION AUSTIN TX,SHELL SERVICE STATION AUSTIN TX,"AUSTIN, TX",US,Travel-Fuel
03/23/2025,COSTCO WHSE #1147,169.99,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
03/23/2026,SQ *JOE'S DINER AUSTIN TX,12.66,SQ *JOE'S DINER AUSTIN TX,SQ *JOE'S DINER AUSTIN TX,"AUSTIN, TX",US,Restaurant-Restaurant
03/25/2025,DD *WINGSTOP,50.78,DD *WINGSTOP,DD *WINGSTOP,"AUSTIN, TX",US,Restaurant-Restaurant
03/25/2026,SHELL OIL 57443982,39.39,SHELL OIL 57443982,SHELL OIL 57443982,"AUSTIN, TX",US,Travel-Fuel
03/26/2025,SQ *JOE'S DINER AUSTIN TX,25.99,SQ *JOE'S DINER AUSTIN TX,SQ *JOE'S DINER AUSTIN TX,"AUSTIN, TX",US,Restaurant-Restaurant
03/28/2026,UBER TRIP 8005928996,27.31,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
03/28/2026,CVS/PHARMACY #4471,15.43,CVS/PHARMACY #4471,CVS/PHARMACY #4471,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
