Description:,BANK OF AMERICA CHECKING ACCOUNT EXPORT
Generated:,07/15/2026
,,,
Date,Description,Amount,Running Bal.
03/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1557.06,2642.94
03/05/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2558.72,5201.66
03/19/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2453.02,7654.68
03/27/2023,ZELLE PAYMENT TO ROOMMATE SPLIT,-114.46,7540.22
04/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1574.18,5966.04
04/02/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2461.62,8427.66
04/15/2023,ZELLE PAYMENT TO M CHEN,-53.45,8374.21
04/16/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2534.53,10908.74
04/18/2023,ZELLE PAYMENT TO ROOMMATE SPLIT,-53.92,10854.82
04/24/2023,ZELLE PAYMENT TO M CHEN,-112.88,10741.94
04/28/2023,ZELLE PAYMENT TO J HERNANDEZ,-40.88,10701.06
04/30/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2497.35,13198.41
05/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1556.35,11642.06
05/03/2023,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1580.21,10061.85
05/13/2023,ZELLE PAYMENT TO J HERNANDEZ,-182.9,9878.95
05/14/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2601.37,12480.32
05/14/2023,ZELLE PAYMENT TO M CHEN,-111.4,12368.92
05/28/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2498.38,14867.3
06/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1584.29,13283.01
06/03/2023,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1448.6,11834.41
06/11/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2614.79,14449.2
06/24/2023,ZELLE PAYMENT TO ROOMMATE SPLIT,-194.97,14254.23
06/25/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2498.3,16752.53
07/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1584.87,15167.66
07/02/2023,ZELLE PAYMENT TO M CHEN,-87.09,15080.57
07/03/2023,ZELLE PAYMENT TO ROOMMATE SPLIT,-41.75,15038.82
07/03/2023,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1242.86,13795.96
07/09/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2468.52,16264.48
07/23/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2545.49,18809.97
08/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1578.91,17231.06
08/03/2023,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1062.66,16168.4
08/05/2023,ZELLE PAYMENT TO M CHEN,-65.71,16102.69
08/06/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2527.5,18630.19
08/20/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2517.1,21147.29
08/21/2023,ZELLE PAYMENT TO J HERNANDEZ,-99.98,21047.31
09/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1598.81,19448.5
09/03/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2603.02,22051.52
09/03/2023,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-159.92,21891.6
09/04/2023,ZELLE PAYMENT TO M CHEN,-60.17,21831.43
09/09/2023,ZELLE PAYMENT TO J HERNANDEZ,-57.62,21773.81
09/17/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2494.46,24268.27
09/24/2023,ZELLE PAYMENT TO ROOMMATE SPLIT,-107.88,24160.39
09/29/2023,ZELLE PAYMENT TO M CHEN,-23.94,24136.45
10/01/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2584.0,26720.45
10/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1552.26,25168.19
10/03/2023,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-278.78,24889.41
10/15/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2616.94,27506.35
10/25/2023,ZELLE PAYMENT TO M CHEN,-139.42,27366.93
10/29/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2540.53,29907.46
11/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1585.76,28321.7
11/01/2023,ZELLE PAYMENT TO ROOMMATE SPLIT,-60.04,28261.66
11/03/2023,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1301.63,26960.03
11/06/2023,ZELLE PAYMENT TO ROOMMATE SPLIT,-195.76,26764.27
11/12/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2550.62,29314.89
11/13/2023,ZELLE PAYMENT TO M CHEN,-125.42,29189.47
11/26/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2634.73,31824.2
12/01/2023,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1590.04,30234.16
12/03/2023,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1466.76,28767.4
12/10/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2570.81,31338.21
12/24/2023,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2486.18,33824.39
12/28/2023,ZELLE PAYMENT TO M CHEN,-59.59,33764.8
01/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1555.64,32209.16
01/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-2128.68,30080.48
01/07/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2463.9,32544.38
01/17/2024,ZELLE PAYMENT TO ROOMMATE SPLIT,-86.8,32457.58
01/21/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2466.43,34924.01
02/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1566.1,33357.91
02/02/2024,ZELLE PAYMENT TO M CHEN,-153.79,33204.12
02/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-938.81,32265.31
02/04/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2516.33,34781.64
02/08/2024,ZELLE PAYMENT TO J HERNANDEZ,-129.23,34652.41
02/10/2024,ZELLE PAYMENT TO J HERNANDEZ,-171.61,34480.8
02/18/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2467.77,36948.57
02/25/2024,ATM WITHDRAWAL - AUSTIN TX,-100.0,36848.57
03/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1552.69,35295.88
03/03/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2579.77,37875.65
03/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1250.11,36625.54
03/09/2024,ZELLE PAYMENT TO M CHEN,-147.75,36477.79
03/17/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2534.72,39012.51
03/25/2024,ZELLE PAYMENT TO ROOMMATE SPLIT,-142.68,38869.83
03/31/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2511.7,41381.53
04/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1579.15,39802.38
04/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-623.1,39179.28
04/14/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2552.43,41731.71
04/15/2024,ZELLE PAYMENT TO J HERNANDEZ,-56.3,41675.41
04/16/2024,ZELLE PAYMENT TO M CHEN,-37.67,41637.74
04/26/2024,ZELLE PAYMENT TO M CHEN,-56.2,41581.54
04/28/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2637.33,44218.87
05/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1586.15,42632.72
05/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-529.84,42102.88
05/11/2024,ZELLE PAYMENT TO M CHEN,-170.45,41932.43
05/12/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2498.88,44431.31
05/22/2024,ZELLE PAYMENT TO ROOMMATE SPLIT,-198.36,44232.95
05/26/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2480.94,46713.89
06/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1567.4,45146.49
