Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/01/2026,01/03/2026,UBER  EATS 8005928996,Food & Drink,Sale,-46.33,
01/04/2025,01/04/2025,DOORDASH*CHIPOTLE,Food & Drink,Sale,-16.77,
01/05/2026,01/06/2026,AMAZON.COM*2A097LG7,Shopping,Sale,-125.42,
01/06/2025,01/06/2025,SAFEWAY STORE 2214 AUSTIN TX,Groceries,Sale,-100.51,
01/06/2025,01/07/2025,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
01/06/2025,01/08/2025,AMZN Mktp US*2KP53HJK,Shopping,Sale,-46.52,
01/06/2026,01/07/2026,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
01/08/2025,01/09/2025,CHIPOTLE ONLINE,Food & Drink,Sale,-14.94,
01/09/2025,01/10/2025,COSTCO WHSE #1147,Groceries,Sale,-75.05,
01/09/2025,01/10/2025,SHELL SERVICE STATION AUSTIN TX,Gas,Sale,-54.73,
01/09/2026,01/09/2026,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-102.38,
01/12/2025,01/12/2025,CHIPOTLE 2647,Food & Drink,Sale,-14.82,
01/12/2025,01/13/2025,COSTCO GAS #1147,Gas,Sale,-54.81,
01/13/2026,01/13/2026,SQ *STARBUCKS,Food & Drink,Sale,-11.17,
01/14/2025,01/14/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-37.55,
01/15/2025,01/15/2025,AMZN Mktp US*2KV1FFWE,Shopping,Sale,-18.63,
01/15/2026,01/17/2026,TARGET.COM*8871029,Shopping,Sale,-60.9,
01/16/2026,01/17/2026,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-14.1,
01/17/2025,01/17/2025,Payment Thank You,Payment,Payment,1879.89,
01/17/2026,01/17/2026,SHELL SERVICE STATION AUSTIN TX,Gas,Sale,-56.58,
01/17/2026,01/17/2026,Payment Thank You,Payment,Payment,1615.2,
01/17/2026,01/18/2026,SQ *STARBUCKS,Food & Drink,Sale,-4.92,
01/19/2026,01/20/2026,TARGET 00021842 AUSTIN TX,Shopping,Sale,-73.48,
01/20/2025,01/21/2025,AMAZON.COM*2A2DUIJ1,Shopping,Sale,-88.2,
01/21/2026,01/23/2026,AMZN Mktp US*2KN1L2DZ,Shopping,Sale,-39.53,
01/21/2026,01/21/2026,UBER TRIP 8005928996,Travel,Sale,-13.76,
01/22/2025,01/23/2025,COSTCO WHSE #1147,Groceries,Sale,-190.4,
01/22/2026,01/23/2026,AMAZON.COM*2A0RWIWO,Shopping,Sale,-67.59,
01/23/2025,01/25/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-7.91,
01/24/2025,01/25/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-31.25,
01/24/2025,01/24/2025,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-12.28,
01/25/2025,01/26/2025,CVS PHARM #04471 AUSTIN TX,Shopping,Sale,-27.33,
01/25/2025,01/26/2025,UBER TRIP 8005928996,Travel,Sale,-24.79,
01/25/2026,01/26/2026,UBER TRIP 8005928996,Travel,Sale,-9.19,
02/01/2025,02/02/2025,AMZN Mktp US*2KZ57JU7,Shopping,Sale,-140.04,
02/01/2026,02/02/2026,STARBUCKS STORE #05028,Food & Drink,Sale,-6.37,
02/03/2026,02/03/2026,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-46.35,
02/04/2026,02/05/2026,DD *COSTCO WHSE,Groceries,Sale,-58.69,
02/06/2025,02/07/2025,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
02/06/2025,02/07/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-21.58,
02/06/2026,02/07/2026,SHELL OIL 57443982,Gas,Sale,-29.43,
02/06/2026,02/08/2026,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
02/06/2026,02/06/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-7.85,
02/06/2026,02/08/2026,AMAZON.COM*2A8WJZLJ,Shopping,Sale,-9.59,
