Date,Account/Card,Clean Merchant,Tax Category,Amount,Direction,Raw Statement Line
2026-06-11,horizon_tech,SAAS TOOL,Unclassified,-75.5,Expense,SOFTWARE SUBSCRIPTION - SAAS TOOL
2026-06-08,horizon_tech,Client,Income,3200.0,Income,CLIENT INVOICE #4471
2026-06-02,horizon_tech,STAPLES,Shopping,-215.4,Expense,OFFICE SUPPLIES - STAPLES
,apex_card,McDonalds,Meals,11.45,Expense,mcdonalds
,apex_card,SHELL OIL,Transport,42.1,Expense,SHELL OIL 57443921
,apex_card,Safeway,Groceries,84.23,Expense,  SAFEWAY #1928   
,apex_card,Amazon,Shopping,56.99,Expense,AMZN MKTP US*LN391A2
,apex_card,CHIPOTLE,Meals,14.87,Expense,CHIPOTLE
,apex_card,WALGREENS,Groceries,23.76,Expense,WALGREENS #4471
,apex_card,Internal Transfer,Transfer,-500.0,Expense,AUTOMATIC PAYMENT - THANK YOU
,apex_card,Netflix,Entertainment,15.49,Expense,  netflix.com   
,apex_card,Target,Shopping,38.2,Expense,TARGET T-1849
,apex_card,Uber,Transport,18.32,Expense,UBER   TRIP
